,0
0,1.0000000001085907
1,0.9999999998915249
2,1.0000000003023097
3,31.26397851988413
4,1.0000000003334586
5,59.32465152826023
6,1.0000000014502286
7,88.3466410541821
8,0.9999999987757826
9,116.4810931405041
10,1.0000000000393863
11,150.59086193655423
12,0.9999999998699801
13,181.0005143540959
14,0.9999999997129074
15,213.1799965021883
16,1.000000000090247
17,244.51438719115635
18,1.0000000024591738
19,279.2482030866078
20,1.0000000006848364
21,309.275555774433
22,0.9999999979462325
23,334.7588298648138
24,0.9999999994899037
25,363.7690402121942
26,0.9999999996817918
27,393.5483412308841
28,0.9999999994333234
29,428.66234084811117
30,0.9999999990378633
31,471.000000000016
32,38.868431549021366
33,0.999999999867907
34,40.76128279976203
35,32.36328858032645
36,39.46410183416583
37,62.87884979892854
38,37.50015158398191
39,92.61371819307143
40,35.19074215772846
41,121.29857596252617
42,33.19179745973601
43,153.00163231214205
44,31.098515272634053
45,184.10037933952808
46,27.922077348365256
47,215.06374228080568
48,32.44532160940756
49,247.7758863912576
50,37.49250951602505
51,283.3820242977008
52,33.66321190320107
53,311.4437716781372
54,31.80490458685361
55,337.7380057492517
56,29.319818595253917
57,366.915664364826
58,27.161393361613566
59,401.43341398586523
60,24.47246444608071
61,438.7763588228506
62,23.35237203684357
63,470.99999999802986
64,72.95921099814937
65,0.9999999999527635
66,73.77434936983056
67,32.64831183192233
68,72.66703419853509
69,63.76155447738453
70,69.93216062873763
71,94.31985602144478
72,67.38213924312538
73,124.79677455325502
74,64.70158015308473
75,156.14084889008478
76,63.15167944326617
77,187.19278649733494
78,61.39121030844744
79,218.56544935347753
80,62.17362343002783
81,250.4491942007632
82,62.328248958545245
83,284.7444048831754
84,61.25650943516105
85,314.28040106115566
86,58.12724840361931
87,340.7137054838553
88,58.44035926750022
89,371.10750914898017
90,58.248470808327525
91,404.7689657190901
92,58.402007661221404
93,441.08241284101064
94,60.52081235767618
95,471.0000000009055
96,105.42318041446453
97,0.9999999999814347
98,105.34962881597026
99,32.91783208971672
100,104.48661788337787
101,64.67131294350519
102,102.02616362527039
103,95.95295850038306
104,99.48776733527112
105,128.10979219919696
106,97.15314626782937
107,159.48067853412437
108,94.87877746462541
109,190.14026866530955
110,92.21404715862425
111,221.50132651793243
112,91.34389477353803
113,253.26030843450505
114,89.68767002361636
115,286.8882686508948
116,87.57587179203728
117,316.27815422034206
118,86.50863292389062
119,345.15454490033073
120,85.74510691933611
121,374.63405761540884
122,86.75469731304707
123,405.709646665651
124,87.96867060321816
125,439.1844734443548
126,88.74381212369022
127,470.9999999999211
128,138.03394020869584
129,0.9999999999825454
130,137.71268878895708
131,33.35135408597915
132,137.63183680672057
133,65.72590807935592
134,134.75921715928285
135,98.09179542397167
136,131.7722556306442
137,131.12734537912323
138,129.04579397325017
139,162.20991787039955
140,126.24536542017032
141,193.235830725569
142,123.40082420903764
143,224.44008511551854
144,120.63191518811963
145,256.1515119951424
146,117.88633201172604
147,288.2043640344358
148,116.0900324033054
149,319.9024184265464
150,116.12052544513384
151,348.3055550389977
152,115.8661413059469
153,377.59539842957105
154,116.5006031680831
155,405.8714651491509
156,117.97323212693742
157,438.9423057226999
158,118.51379820958532
159,470.9999999999512
160,171.28583654223132
161,0.9999999999800345
162,169.8358605405367
163,33.76172551011033
164,168.78028231232713
165,66.61379366337289
166,165.65003119908505
167,99.54907820518973
168,162.61591013160867
169,132.6256719525391
170,159.8509471372533
171,164.33379096690035
172,157.21242235481316
173,195.8473667139843
174,154.78018063714833
175,227.3983521187528
176,152.3360394998745
177,259.4233693555746
178,149.75786045503875
179,290.8025990760637
180,147.777316314626
181,321.64781743583484
182,147.03053197773832
183,351.02566483919276
184,146.59402711116587
185,379.8704296708686
186,147.51415047089
187,408.228043357234
188,148.90787446921777
189,439.7111298135405
190,149.3626174031888
191,471.0000000000014
192,205.54181544975083
193,1.0000000001901461
194,202.30034201845208
195,34.76848869808848
196,198.72125975536036
197,68.71579637355256
198,195.60118244151744
199,101.67564108709456
200,192.3508928946074
201,135.16586061219186
202,189.77569449926196
203,167.11555644141308
204,187.41888800456374
205,198.74853545686565
206,184.72364415951867
207,230.03647888819475
208,183.21499451811417
209,262.4525317177987
210,182.0574965103095
211,293.00908488890593
212,180.00824302214926
213,323.74825523906816
214,178.2760420287717
215,353.2707981141557
216,178.301750076809
217,381.65931801314593
218,179.83032724268273
219,410.74839886793814
220,180.77950110647606
221,440.6737571679393
222,181.11898841778944
223,471.0000000000513
224,231.59986652135714
225,1.0000000002394664
226,230.96980923354008
227,36.27969545669694
228,229.9767236010523
229,71.88821733906154
230,227.14215861346244
231,104.42037647322068
232,224.05339062012763
233,137.99237381996065
234,221.28004539927375
235,169.97078667365858
236,218.4415643631345
237,201.70365690898237
238,215.8585604937749
239,233.12477648995167
240,212.4388700670565
241,264.8889062577832
242,212.09285939995274
243,296.4970328606659
244,210.02067486325717
245,326.6856823271011
246,209.71615941514304
247,355.0434609279587
248,210.92827406732826
249,382.81918624158857
250,212.3865148229982
251,411.7619333126293
252,213.2595177807618
253,441.2363524823948
254,213.552890196625
255,471.00000000008464
256,259.1838912759947
257,1.0000000002507359
258,259.20634366944347
259,37.42627457558739
260,259.81838059210605
261,74.48632684232645
